name,latitude,longitude,color
Haa Zongkha [dzo-2],27.135,89.12,#2DBDB7
Haida [hdn],53,-132,#788483
Hajong [haj],26.2,90.5,#30CB94
Hakha_Lai [cnh],22.667,93.667,#809AB8
Hakka [hak],24.25,116.5,#ACD072
Halkomelem [hur],49.5,-122.5,#8C2C4E
Hanga_Hundi [wos],-3.833,142.833,#309087
Hangzhou [wuu-2],30.25,120.167,#A7CB70
Harsusi [hss],19.7,55.85,#7A5E32
Hatam [had],-1,134,#C782CD
Hausa [hau],12,7,#BE6F5A
Hawaiian [haw],21,-157,#B8BE5A
Hayu [vay],27.25,86,#458C9D
Hebrew [heb],31.75,35.17,#9D7210
Helong [heg],-10.25,123.67,#C88091
Herero [her],-21,20,#B64E69
Hidatsa [hid],48,-110,#630CCA
Hiligaynon [hil],10.25,123,#C08550
Hill_Madia [mrr],18.9,81.35,#1D896A
Hindi [hin],27,80,#38A22C
Hiw [hiw],-13.25,166.5,#D56FA0
Hixkaryana [hix],1.5,-60,#833C7D
Hkongso [mro],21.5,93,#91CB99
Hlai [lic],19.05,109.9,#D9E298
Hlersu [hle],24.05,101.975,#74E2B1
Hmar [hmr],25,92.2,#52A79E
Ho [hoc],22,86,#516586
Hobyot [hoh],16.21,52.2,#7A5442
Holoholo [hoo],-5.5,28.25,#D14F6D
Hopi [hop],36,-110,#2E5487
Hresuk [adb],-8.22,125.61,#DEA4A3
Hua [ygr],-6.333,145.3,#1A559B
Huastec [hsf],22.08,-99.33,#AA5D37
Huichol [hch],22,-104,#2E4B93
Hungarian [hun],47,19,#5E9437
Hunzib [huz],42.16,46.23,#208A6B
Hup [jup],0.167,-69.25,#418A97
Hupa [hup],41.08,-123.67,#763E98
I’saka [ksi],-2.9,141.4,#A24FB6
Iaai [iai],-20.417,166.417,#F9784B
Iatmul [ian],-4.25,143.25,#1D6A90
Iau [tmu],-3.167,138,#91C3B4
Iban [iba],2,112,#EFC570
Icelandic [isl],65,-19,#61A40F
Idu Mishmi [clk],29,96,#5598BC
Ifugao_Batad [ifb],16.833,121.083,#BD7F35
Igbo [ibo],6,7.33,#B17E8F
Iha [ihp],-2.8,132.35,#6350C5
Ik [ikx],3.75,34.17,#7D7D51
Ika [arh],10.75,-73.5,#5366AD
Ilokano [ilo],16,121,#BD7E39
Imonda [imn],-3.25,141.167,#6A8192
Inanwatan [szp],-2.17,132,#6D3DBF
Indonesian [ind],-2.5,104.75,#E49461
Ingush [inh],42.97,44.77,#22967B
Iñupiaq [esi],68.13,-151.72,#24418E
Irabu_Ryukyu [mvi-3],24.833,125.183,#31AE9D
Iraqw [irk],-3.5,35,#8B7873
Irarutu [irh],-3,133.5,#E160B4
Irish [gle],53,-7,#986E20
Irula [iru],11,77,#129279
Italian [ita],43,14,#8E941D
Itelmen [itl],57,157.5,#304A5B
Ivatan_Southern [ivv],20.33,121.83,#BB8259
Izi [izi],6.332,8.104,#F2FF9E
Jacaltec [jac],15.75,-91.75,#B5405C
Jahai [jhi],5.9,101.5,#D08B6B
Jambi Malay [jax],-1.75,103,#F69066
Jaminjung [djd],-15.083,130.5,#354874
Jamul Tiipay [dih-2],32.17,-116.5,#744DB1
Japanese [jpn],37,140,#4AA280
Jaqaru [jqr],-12.85,-76,#265A67
Javanese [jav],-7.5,110.667,#F49864
Jebero [jeb],-5.2,-76.4,#653570
Jero [jee],27.2,86.25,#2E69B1
Jiaomuzu [qxs-2],32,102.03,#5D75A2
Jibbali [shv],17.2,54.9,#815C1C
Jingpho [kac],28,98,#9CEAB5
Jirel [jul],27.65,86.23,#188A95
Jivaro [jiv],-3,-78.25,#288965
Jomang [tlo],10.58,30.5,#C26B96
Jru [lbo],15.333,106.333,#F4C0A5
Ju|'hoan [ktz],-19,21,#DCAC99
Juang [jun],21.167,85.833,#446488
Juba_Arabic [apd-2],4.85,31.6,#D2CC77
Kabardian [kbd],43.52,43.63,#3233A6
Kabyle [kab],36.5,5,#9B4D3D
Kadazan [kzj],5.917,117.167,#CF9742
Kaera [xxx-111],-8.38,124.21,#AC77D4
Kagoshima [jpn-5],31.6,130.55,#35B794
Kaike [kzq],28.9,83.17,#2AA1A6
Kairiru [kxa],-3.417,143.583,#C46ABB
Kakua [cbv],1.08,-70,#2055A2
Kala Lagaw Ya [mwp],-10.12,142.12,#43DB81
Kalam [kmh],-5.25,144.583,#5B88BA
Kalami [gwc],35.48,72.59,#39A75B
Kalasha [kls],35.73,71.75,#308E5A
Kalkatungu [ktg],-21,139.5,#3A6977
Kalkoti [xka],21.91,78.72,#18A871
Kalmyk [xal],45,47,#289973
Kamang [woi],-8.25,124.833,#B151EA
Kamba [kam],-2,38,#D74E74
Kambera [xbr],-9.833,120.5,#E6767C
Kambran [bed],-2.78,132.7,#C3A2B0
Kamoro [kgq],-4.333,136,#4837CC
Kanakuru [kna],10,12,#AE776A
Kanashi [xns],32,77.55,#32A764
Kangri [xnr],31.5,77,#1C9657
Kannada [kan],14,76,#278B69
Kanoê [kxo],-12.5,-62.25,#5B43AA
Kanum [kcd],-8.583,140.75,#427163
Kanuri [knc],11.25,14.25,#64586F
Kapampangan [pam],15.333,120.5,#BF5C3C
Kapau [hmt],-7.667,146.167,#4E2EB7
Karachay-Balkar [krc],44,42,#17A070
Karaim [kdr],54.63,24.93,#57994C
Karajarri [gbd],-18.5,122.5,#35C870
Karakalpak [kaa],43,60,#0CA36C
Karas Laut [kgv],-3.6,132.667,#456FA5
Karbi [mjw],26.2,93.5,#4A82AE
Karen [bwe],17,98,#ECCBB6
Karen_Geba [kvq],19.02,96.58,#E7C2AE
Karen_Pho [pwo],14.333,98.3,#E5E5B7
Karen_Pho_Kyonbyaw [pwo-3],17.6,95.2,#EDAFBE
Karen_Sgaw [ksw],17,94.833,#ECE2AD
Karo_Batak [btx],3,98.167,#CF735D
Karok [kyh],41.67,-123,#56398C
Kashmiri [kas],34,76,#2E8350
Kate [kmg],-6.5,147.833,#4847BD
Katu [ktv],15.833,107.583,#EFEB91
Kaugel [ubu],-5.95,144.167,#486DA9
Kaulong [pss],-6.25,150.5,#C96FAD
Kaure [bpp],-3.333,139.333,#3457AF
Kawaiisu [xaw],36,-117.5,#534478
Kayah_Li [eky],19,98,#CBBBC3
Kayardild [gyd],-17.05,139.5,#4E8F7B
Kazakh [kaz],50,70,#1D8A74
Kedang [ksx],-8.25,123.75,#DE7CA9
Kei [kei],-5.67,133.08,#D185A4
Kéo [xxk],-8.83,121.25,#EDCC87
Kera [ker],9.83,15.08,#BB8D86
Keraq [unr-2],24,85.2,#418168
Kerinci [kvr],-2.15,101.5,#BBA64D
Kesui [wah],-4.5,131.667,#D574A9
Ket [ket],64,87,#7F6A66
Keuw [khh],-3.2,136.2,#A2D0D5
Kewa [kew],-6.333,143.75,#3E9795
Khakas [kjh],53,90,#209176
Khalaj [klj],35,50,#2D9A64
Khaling [klr],27.6,86.7,#306597
Khalkha [khk],47,105,#2AAA6D
Kham [kgj],28.5,82.75,#26689C
Khanty [kca],65,65,#61956D
Kharia [khr],22.5,83.5,#468179
Khasi [kha],26,92,#A9BE57
Khengkha [xkf],27.28,90.75,#44BABE
